config,L,C,M
"[5, 1, 1, 0, 0, 0, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 0, 0, 0, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 0, 0, 0, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 0, 0, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 0, 0, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 0, 1, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 0, 1, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 1, 0, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 1, 0, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 1, 1, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 0, 1, 1, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 0, 0, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 0, 0, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 0, 1, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 0, 1, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 0, 0, 1, 1, 1, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 0, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 0, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 0, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 0, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 1, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 1, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 1, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 0, 1, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 0, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 0, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 0, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 0, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 0, 1, 1, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 0, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 0, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 1, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 1, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 1, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 0, 1, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 0, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 0, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 0, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 0, 1, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 0, 1, 1, 1, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 0, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 0, 1, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 0, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 0, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 0, 1, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 0, 1, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 0, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0,1,0
"[5, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 0, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 0, 1, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 1, 0, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 1, 0, 1]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 1, 1, 0]",0,1,0
"[6, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 0, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 0, 1, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 1, 0, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 1, 0, 1]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 1, 1, 0]",0,1,0
"[6, 0, 1, 0, 1, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 0, 1, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 1, 0, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 1, 0, 1]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 1, 1, 0]",0,1,0
"[6, 0, 1, 1, 0, 1, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 0, 1, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 1, 0, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 1, 0, 1]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 1, 1, 0]",0,1,0
"[6, 0, 1, 1, 1, 0, 1, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 0, 1, 1]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 1, 0, 0]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 1, 0, 1]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 1, 1, 0]",0,1,0
"[6, 0, 1, 1, 1, 1, 0, 1, 1, 1]",0,1,0
"[6, 0, 1, 1, 1, 1, 1, 0, 0, 0]",0,1,0
"[6, 0, 1, 1, 1, 1, 1, 0, 0, 1]",0,1,0
"[6, 0, 1, 1, 1, 1, 1, 0, 1, 0]",0,1,0
"[6, 0, 1, 1, 1, 1, 1, 0, 1, 1]",0,1,0
